Command line: main.py
Total duration: 31.7174s
File: main.py
File duration: 0.610143s (1.92%)
Line #|      Hits|         Time| Time per hit|      %|Source code
(call)|       250|    0.0380077|  0.000152031|  0.12%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:1966 sum
    42|       250|   0.00300097|  1.20039e-05|  0.01%|        result[result == 0] = 1  # sets sign(0) to 1
    43|       250|   0.00200081|  8.00323e-06|  0.01%|        results.append(result)
    44|         5|            0|            0|  0.00%|    return results
    45|         0|            0|            0|  0.00%|
    46|         0|            0|            0|  0.00%|
    47|         0|            0|            0|  0.00%|# computes f_D,k for given x values
    48|         6|            0|            0|  0.00%|def f_naive_alt(data, x, k):
    49|         5|     0.140031|    0.0280061|  0.44%|    near = k_nearest_alt(data, x, k)  # using k_nearest_alt because it is faster
(call)|         5|      5.34821|      1.06964| 16.86%|# main.py:29 k_nearest_alt
    50|         5|            0|            0|  0.00%|    y = data[:, :1]
    51|         5|     0.148033|    0.0296067|  0.47%|    nearest_bin = np.take_along_axis(np.repeat(y, len(x), axis=1), near, axis=0)
(call)|         5|      1.38931|     0.277862|  4.38%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:429 repeat
(call)|         5|     0.037009|    0.0074018|  0.12%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\lib\shape_base.py:59 take_along_axis
    52|         5|            0|            0|  0.00%|    result = np.sign(np.sum(nearest_bin, axis=0))
(call)|         5|   0.00200105|  0.000400209|  0.01%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:1966 sum
    53|         5|            0|            0|  0.00%|    result[result == 0] = 1  # sets sign(0) to 1
    54|         5|            0|            0|  0.00%|    return result
    55|         0|            0|            0|  0.00%|
    56|         0|            0|            0|  0.00%|
    57|         0|            0|            0|  0.00%|# computes final f_D for given x values and k*
    58|         2|  0.000999928|  0.000499964|  0.00%|def f_final(data_segmented, x, k):
    59|         1|            0|            0|  0.00%|    tmp = np.zeros(len(x))
    60|         0|            0|            0|  0.00%|
    61|         6|  0.000999689|  0.000166615|  0.00%|    for i, di in enumerate(data_segmented):
    62|         5|            0|            0|  0.00%|        di_complement = np.concatenate(np.delete(data_segmented, i, axis=0))
(call)|         5|   0.00100017|  0.000200033|  0.00%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\lib\function_base.py:4220 delete
    63|         5|    0.0720167|    0.0144033|  0.23%|        tmp = tmp + f_naive_alt(di_complement, x, k)
(call)|         5|      7.06459|      1.41292| 22.27%|# main.py:48 f_naive_alt
    64|         0|            0|            0|  0.00%|
    65|         1|            0|            0|  0.00%|    result = np.sign(tmp)
    66|         1|            0|            0|  0.00%|    result[result == 0] = 1  # sets sign(0) to 1
    67|         1|            0|            0|  0.00%|    return result
    68|         0|            0|            0|  0.00%|
    69|         0|            0|            0|  0.00%|
    70|         0|            0|            0|  0.00%|# stitches calculated y-values to the coordinates
    71|       252|   0.00199986|  7.93593e-06|  0.01%|def stitch(y, x):
    72|       251|   0.00200081|  7.97135e-06|  0.01%|    data = np.hstack((y[:, np.newaxis], x))
(call)|       251|    0.0780156|  0.000310819|  0.25%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\shape_base.py:286 hstack
    73|       251|   0.00199962|   7.9666e-06|  0.01%|    return data
    74|         0|            0|            0|  0.00%|
    75|         0|            0|            0|  0.00%|
    76|         2|            0|            0|  0.00%|def classify(name, kset=K, l=5, output=True):
    77|         1|            0|            0|  0.00%|    train = dataset.parse('data/' + name + '.train.csv')
(call)|         1|      4.05658|      4.05658| 12.79%|# C:\Users\rapha\PycharmProjects\computerpraktikum-maschinelles-lernen\dataset.py:11 parse
    78|         0|            0|            0|  0.00%|
    79|         1|            0|            0|  0.00%|    if output:
    80|         0|            0|            0|  0.00%|        visual.display_2d_dataset(train)  # Display training
    81|         0|            0|            0|  0.00%|
    82|         0|            0|            0|  0.00%|    # instead of making a random partition we use parts of a shuffled array
    83|         0|            0|            0|  0.00%|    # this results in disjoint sets d_i (what would arbitrary sets imply?)
    84|         1|     0.014003|     0.014003|  0.04%|    np.random.shuffle(train)
    85|         0|            0|            0|  0.00%|    # this way we have d_i = dd[i]
    86|         1|            0|            0|  0.00%|    dd = np.array_split(train, l)
(call)|         1|   0.00124025|   0.00124025|  0.00%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\lib\shape_base.py:715 array_split
    87|         0|            0|            0|  0.00%|
    88|         1|            0|            0|  0.00%|    k_best_r = np.ones((l, len(kset)))
(call)|         1|            0|            0|  0.00%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\numeric.py:175 ones
    89|         0|            0|            0|  0.00%|
    90|         6|   0.00100064|  0.000166774|  0.00%|    for i, di in enumerate(dd):
    91|         5|            0|            0|  0.00%|        di_complement = np.concatenate(np.delete(dd, i, axis=0))
(call)|         5|   0.00297475|   0.00059495|  0.01%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\lib\function_base.py:4220 delete
    92|         0|            0|            0|  0.00%|
    93|       255|    0.0040009|  1.56898e-05|  0.01%|        for n, f in enumerate(f_naive(di_complement, di[:, 1:], kset)):
(call)|         5|      3.51279|     0.702558| 11.08%|# main.py:35 f_naive
    94|       250|   0.00700426|   2.8017e-05|  0.02%|            k_best_r[i][n] = R(di, stitch(f, di[:, 1:]))
(call)|       250|    0.0830159|  0.000332064|  0.26%|# main.py:71 stitch
(call)|       250|     0.273064|   0.00109226|  0.86%|# main.py:11 R
    95|         0|            0|            0|  0.00%|
    96|         1|            0|            0|  0.00%|    k_best = K[np.argmin(np.mean(k_best_r, axis=0))]
(call)|         1|            0|            0|  0.00%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:3014 mean
(call)|         1|            0|            0|  0.00%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:1110 argmin
    97|         1|  0.000999451|  0.000999451|  0.00%|    print('k* =', k_best)
    98|         0|            0|            0|  0.00%|
    99|         1|            0|            0|  0.00%|    test = dataset.parse('data/' + name + '.test.csv')
(call)|         1|      1.69038|      1.69038|  5.33%|# C:\Users\rapha\PycharmProjects\computerpraktikum-maschinelles-lernen\dataset.py:11 parse
   100|         0|            0|            0|  0.00%|
   101|         1|            0|            0|  0.00%|    if output:
   102|         0|            0|            0|  0.00%|        visual.display_2d_dataset(test)  # Display test data
   103|         0|            0|            0|  0.00%|
   104|         1|            0|            0|  0.00%|    compare = f_final(dd, test[:, 1:], k_best)
(call)|         1|      7.13861|      7.13861| 22.51%|# main.py:58 f_final
   105|         1|            0|            0|  0.00%|    print('Failure rate (compared to test data):', R(test, stitch(compare, test[:, 1:])))
(call)|         1|  0.000999928|  0.000999928|  0.00%|# main.py:71 stitch
(call)|         1|   0.00100017|   0.00100017|  0.00%|# main.py:11 R
   106|         1|            0|            0|  0.00%|    if output:
   107|         0|            0|            0|  0.00%|        visual.display_2d_dataset(stitch(compare, test[:, 1:]))  # Display guessed labels of test data
   108|         0|            0|            0|  0.00%|
   109|         0|            0|            0|  0.00%|    # grid = [[n/100, m/100] for n in range(100) for m in range(100)]
   110|         0|            0|            0|  0.00%|    # visual.display_2d_dataset(stitch(f_final(dd, grid, k_best), grid)) # Display grid
   111|         0|            0|            0|  0.00%|
   112|         0|            0|            0|  0.00%|
   113|         1|            0|            0|  0.00%|def classify_all(kset=K, l=5):
   114|         0|            0|            0|  0.00%|    for data_file in dataset.datasets:
   115|         0|            0|            0|  0.00%|        print('Running dataset', data_file, '...')
   116|         0|            0|            0|  0.00%|        start_time = time.time()
   117|         0|            0|            0|  0.00%|        classify(data_file, kset, l, output=False)
   118|         0|            0|            0|  0.00%|        elapsed_time = time.time() - start_time
   119|         0|            0|            0|  0.00%|        print('Elapsed time:', elapsed_time, '\n')
   120|         0|            0|            0|  0.00%|
   121|         0|            0|            0|  0.00%|
   122|         0|            0|            0|  0.00%|# classify_all()
   123|         0|            0|            0|  0.00%|
   124|         1|            0|            0|  0.00%|classify('bananas-1-2d', K, 5, output=False)
(call)|         1|      16.7877|      16.7877| 52.93%|# main.py:76 classify
   125|         0|            0|            0|  0.00%|
